school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Yerevan «Haybusak» University,academedu.org,university/college,2026-09-14,Inaccessible,deqar:2026-09-14,2,,,,
Armenian National Agrarian University,anau.am,university/college,2026-09-26,Active,deqar:2026-09-13,,50,http-2xx-html+edu-keywords+substantial-content,anau.am,am-am
Armenian Medical Institute,armedin.am,university/college,2026-09-26,Inaccessible,deqar:2026-09-13,,0,fetch-error:ConnectTimeout,armedin.am,
Mehrabyan Medical Institute and Medical College,armmed.am,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,,,,
Armenian State Agrarian University,asau.am,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,,,,
Armenian State Institute of Physical Culture and Sport,asipc.am,university/college,2026-09-26,Inaccessible,deqar:2026-09-13,,0,fetch-error:SSLError,asipc.am,
Armenian State University of Economics,asue.am,university/college,2026-09-26,Active,deqar:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,80,http-2xx-html+multi-source+edu-keywords+substantial-content,asue.am,am
American University of Armenia,aua.am,university/college,2026-09-26,Active,deqar:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,aua.am,en-us
Yerevan State Lingustic University after Brusov,brusov.am,university/college,2026-09-26,Active,deqar:2026-09-13,,50,http-2xx-html+edu-keywords+substantial-content,brusov.am,
Crisis Management State Academy of RA,cmsa.am,university/college,2026-09-25,Active,deqar:2026-09-13,,50,http-2xx-html+edu-keywords+substantial-content,cmsa.am,fr
Yerevan Komitas State Conservatory,conservatory.am,university/college,2026-09-25,Active,deqar:2026-09-13,,60,http-2xx-html+edu-keywords+structure+substantial-content,conservatory.am,hy-am
University of Culture,education.am,university/college,2026-09-25,Active,deqar:2026-09-14,,60,http-2xx-html+edu-keywords+structure+substantial-content,education.am,
Educational Complex of Police of the RA,edupolice.am,university/college,2026-09-25,Active,deqar:2026-09-13,,50,http-2xx-html+edu-keywords+substantial-content,edupolice.am,
Eurasia International University,eiu.am,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,,,,
Erebuni Medical Academy Foundation,erebuniacademy.am,university/college,2026-09-24,Active,deqar:2026-09-14,,60,http-2xx-html+edu-keywords+structure+substantial-content,erebuniacademy.am,hy
European Regional Educational Academy of Armenia,eriicta.am,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,,,,
European University of Armenia,eua.am,university/college,2026-09-24,Active,deqar:2026-09-14,,50,http-2xx-html+edu-keywords+structure,eua.am,en
Yerevan State Academy of Fine Arts,fineart.ac.am,university/college,2026-09-24,Active,redirect:yafa.am,,60,http-2xx-html+edu-keywords+trusted-suffix+substantial-content,fineart.ac.am,hy
«Galik» University,galick.do.am,university/college,2026-09-24,Active,deqar:2026-09-13,,50,http-2xx-html+edu-keywords+substantial-content,galick.do.am,
Shirak State University after M. Nalbandyan,gspi.am,university/college,2026-09-24,Active,deqar:2026-09-13,,60,http-2xx-html+edu-keywords+structure+substantial-content,gspi.am,hy
Yerevan Haibusak University,haybusak.org,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,0,,,,
Yerevan «International Accountancy Training Center» Educational Fund,iatc.am,university/college,2026-09-24,Inaccessible,deqar:2026-09-13,,20,low-confidence:http-2xx-html,iatc.am,
International Scientific-Educational Center of the National Academy of Science of RA,isec.am,university/college,2026-09-24,Active,deqar:2026-09-13,,60,http-2xx-html+edu-keywords+structure+substantial-content,isec.am,
Yerevan Mesrop Mashtoc University,mashtotsuniversity.am,university/college,2026-09-23,Inaccessible,deqar:2026-09-13,,5,http-403,mashtotsuniversity.am,
Military Aviation University after Armenak Khanperyants,mil.am,university/college,2026-09-23,Inaccessible,deqar:2026-09-13,,30,low-confidence:http-2xx-html+substantial-content,mil.am,hy
Armenian-Russian International University «Mkitar Gosh»,mkhitargosh.com,university/college,2026-09-23,Inaccessible,deqar:2026-09-13,,0,fetch-error:ConnectionError,mkhitargosh.com,
Yerevan University after Movses Khorenatsi,mkhu.am,university/college,2026-09-23,Inaccessible,deqar:2026-09-14,,30,low-confidence:http-2xx-html+structure,mkhu.am,hy-hy
My Step Foundation,mystep.foundation,university/college,2026-09-22,Inaccessible,deqar:2026-09-14,8,5,http-403,mystep.foundation,
Yerevan «Northern» University,northern.am,university/college,2026-09-22,Inaccessible,deqar:2026-09-13,,0,fetch-error:ConnectionError,northern.am,
National University of Architecture and Construction of Armenia,nuaca.am,university/college,2026-09-22,Active,deqar:2026-09-13,,60,http-2xx-html+edu-keywords+structure+substantial-content,nuaca.am,
Public Administartion Academy of RA,paara.am,university/college,2026-09-22,Active,deqar:2026-09-13,,60,http-2xx-html+edu-keywords+structure+substantial-content,paara.am,en-us
Gyumri branch of the National Polytechnic University of Armenia,polytechgyumri.am,university/college,2026-09-22,Inaccessible,deqar:2026-09-13,,0,fetch-error:ConnectionError,polytechgyumri.am,
«Progress» University of Gyumri,progress-hamalsaran.am,university/college,2026-09-22,Active,deqar:2026-09-13,,60,http-2xx-html+edu-keywords+structure+substantial-content,progress-hamalsaran.am,hy
Russian-Armenian (Slavonic) State University,rau.am,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,,,,
Medical University of St. Tereza,saintterezameduni.com,university/college,2026-09-22,Inaccessible,deqar:2026-09-13,,0,fetch-error:ConnectionError,saintterezameduni.com,
National Polytechnic University of Armenia,seua.am,university/college,2026-09-21,Inaccessible,deqar:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,0,fetch-error:ConnectionError,seua.am,
French University in Armenia (UFAR),ufar.am,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,,,,
«Martig» University of International Economic Relations,uier-edu.am,university/college,2026-09-20,Inaccessible,deqar:2026-09-13,,,,,
«USEL» University,usel.am,university/college,2026-09-20,Inaccessible,deqar:2026-09-13,,,,,
Vanadzor State University after Hovhannes Toumanyan,vsu.am,university/college,2026-09-20,Active,deqar:2026-09-13,,,,,
Yerevan State Academy of Fine Arts,yafa.am,university/college,2026-09-19,Inaccessible,deqar:2026-09-13,,,,,
Gyumri branch of Yerevan State Institute of Theatre and Cinema,ysitc.am,university/college,2026-09-19,Inaccessible,deqar:2026-09-13,,,,,
Yerevan State Medical University,ysmu.am,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,,,,
Yerevan State University,ysu.am,university/college,2026-09-19,Active,deqar:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,,,,
