school_name,web_domain,type,last_visited,status,sources,years_registered
Univesidade Agostinho Neto,uan.ao,university/college,2026-09-19,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Universidade Católica de Angola,ucan.co.ao,university/college,2026-09-19,Inaccessible,redirect:ucan.edu,
Universidade Católica de Angola,ucan.edu,university/college,2026-09-19,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,28
Universidade Gregorio Semedo,ugs.ed.ao,university/college,2026-09-19,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Universidade Lusíada de Angola,ulangola.net,university/college,2026-09-19,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Universidade Metodista de Angola,uma.co.ao,university/college,2026-09-19,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Universidade Independente de Angola,unia.ao,university/college,2026-09-19,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Universidade Metropolitana de Angola,unimetroangola.com,university/college,2026-09-19,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,2
Universidade Metodista de Angola,universidademetodista.ao,university/college,2026-09-19,Inaccessible,redirect:uma.co.ao,
Universidade Tecnica de Angola,utanga.co.ao,university/college,2026-09-19,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
