school_name,web_domain,type,last_visited,status,sources,years_registered
Universidad Atlántida Argentina,atlantida.edu.ar,university/college,2026-09-19,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Universidad Austral Buenos Aires,austral.edu.ar,university/college,2026-09-19,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
"Universidad CAECE, Buenos Aires",caece.edu.ar,university/college,2026-09-19,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Instituto de Enseñanza Superior del Ejército,iese.edu.ar,university/college,2026-09-19,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Instituto Universitario de Estudios Navales y Marítimos,inun.edu.ar,university/college,2026-09-19,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Instituto Tecnológico de Buenos Aires,itba.edu.ar,university/college,2026-09-19,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Instituto Universitario Aeronáutico,iua.edu.ar,university/college,2026-09-19,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Instituto Universitario de Ciencias de la Salud - Buenos Aires,iucs.uncoma.edu.ar,university/college,2026-09-19,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
"Universidad Argentina ""John F. Kennedy""",kennedy.edu.ar,university/college,2026-09-19,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Universidad Maimónides,maimonides.edu.ar,university/college,2026-09-19,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Universidad Nacional de Mar del Plata,mdp.edu.ar,university/college,2026-09-19,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Universidad de Palermo,palermo.edu,university/college,2026-09-19,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,26
Universidad del Salvador,salvador.edu.ar,university/college,2026-09-19,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Universidad Argentina de la Empresa,uade.edu.ar,university/college,2026-09-19,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Universidad Autónoma de Entre Ríos,uader.edu.ar,university/college,2026-09-19,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Universidad Adventista del Plata,uapar.edu,university/college,2026-09-19,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,28
Universidad de Belgrano,ub.edu.ar,university/college,2026-09-19,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Universidad de Buenos Aires,uba.ar,university/college,2026-09-17,Active,openalex:page16;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,9
Universidad Blas Pascal,ubp.edu.ar,university/college,2026-09-19,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
"Universidad CAECE, Buenos Aires",ucaece.edu.ar,university/college,2026-09-19,Active,redirect:caece.edu.ar,
Universidad del CEMA,ucema.edu.ar,university/college,2026-09-19,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Universidad Nacional de las Artes,una.edu.ar,university/college,2026-09-19,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
