school_name,web_domain,type,last_visited,status,sources,years_registered
University of Klagenfurt,aau.at,university/college,2026-09-14,Active,deqar:2026-09-14,
BHAK Eisenerz,bhak-eisenerz.at,university/college,2026-09-13,Inaccessible,wikidata:P856,
Anton Bruckner Private University,bruckneruni.ac.at,university/college,2026-09-14,Active,redirect:bruckneruni.at,
Anton Bruckner Private University,bruckneruni.at,university/college,2026-09-14,Inaccessible,deqar:2026-09-14,
Danube University Krems,donau-uni.ac.at,university/college,2026-09-14,Active,deqar:2026-09-14,
Danube Private University,dp-uni.ac.at,university/college,2026-09-14,Active,deqar:2026-09-14,
University of Applied Sciences Burgenland,fh-burgenland.at,university/college,2026-09-14,Inaccessible,deqar:2026-09-14,
University of Applied Sciences for Health Professions Upper Austria,fh-gesundheitsberufe.at,university/college,2026-09-14,Active,deqar:2026-09-14,
IMC University of Applied Sciences Krems,fh-krems.ac.at,university/college,2026-09-14,Active,deqar:2026-09-14,
Kufstein University of Applied Sciences,fh-kufstein.ac.at,university/college,2026-09-14,Active,deqar:2026-09-14,
Vorarlberg University of Applied Sciences,fhv.at,university/college,2026-09-14,Active,deqar:2026-09-14,
Gustav Mahler Private University of Music,gmpu.ac.at,university/college,2026-09-14,Active,deqar:2026-09-14,
University of Applied Sciences Burgenland,hochschule-burgenland.at,university/college,2026-09-14,Active,redirect:fh-burgenland.at,
Institute of Science and Technology Austria,ist.ac.at,university/college,2026-09-14,Active,deqar:2026-09-14,
Joseph Haydn Privathochschule,jhp.ac.at,university/college,2026-09-14,Active,deqar:2026-09-14,
Karl Landsteiner University of Health Sciences,kl.ac.at,university/college,2026-09-14,Active,deqar:2026-09-14,
Catholic Private University Linz,ku-linz.at,university/college,2026-09-14,Active,deqar:2026-09-14,
University of Education in Burgenland,ph-burgenland.at,university/college,2026-09-14,Active,deqar:2026-09-14,
"University College of Teacher Education, Carinthia",ph-kaernten.ac.at,university/college,2026-09-14,Active,deqar:2026-09-14,
Pädagogische Hochschule Niederösterreich,ph-noe.ac.at,university/college,2026-09-14,Active,deqar:2026-09-14,
"University of Education, Upper Austria",ph-ooe.at,university/college,2026-09-14,Active,deqar:2026-09-14,
Pädagogische Hochschule Vorarlberg,ph-vorarlberg.ac.at,university/college,2026-09-14,Active,deqar:2026-09-14,
Private University College of Education of the Diocese of Linz,phdl.at,university/college,2026-09-14,Active,deqar:2026-09-14,
University of Mining Leoben,unileoben.ac.at,university/college,2026-09-14,Active,deqar:2026-09-14,
Vorarlberg State Conservatory,vlk.ac.at,university/college,2026-09-14,Inaccessible,deqar:2026-09-14,
