school_name,web_domain,type,last_visited,status,sources,years_registered
Australian Catholic University Limited,acu.edu.au,university/college,2026-09-13,Inaccessible,cricos:2026-09-13,
Airways Aviation Education Pty Ltd,airwaysaviation.com,other,2026-09-14,Active,cricos:2026-09-13,14
Australian National University,anu.edu.au,university/college,2026-09-13,Active,cricos:2026-09-13,
The Australian Ballet School,australianballetschool.com.au,k-12,2026-09-14,Active,cricos:2026-09-13,
Ballarat and Queen's Anglican Grammar School,bgs.vic.edu.au,k-12,2026-09-13,Active,cricos:2026-09-13,
Billanook College Limited,billanook.vic.edu.au,k-12,2026-09-13,Active,cricos:2026-09-13,
Cairns Business College Limited,biolabet3.com,k-12,2026-09-14,Inaccessible,redirect:cbcaustralia.com,0
Bond University,bond.edu.au,university/college,2026-09-13,Active,cricos:2026-09-13,
Brighton Grammar School,brightongrammar.vic.edu.au,k-12,2026-09-13,Inaccessible,cricos:2026-09-13,
University of Canberra,canberra.edu.au,university/college,2026-09-14,Active,cricos:2026-09-13,
Carey Baptist Grammar School Limited,carey.com.au,k-12,2026-09-13,Active,cricos:2026-09-13,
Caulfield Grammar School,caulfieldgs.vic.edu.au,k-12,2026-09-13,Active,cricos:2026-09-13,
Cairns Business College Limited,cbcaustralia.com,k-12,2026-09-14,Inaccessible,cricos:2026-09-13,27
Concordia College Inc,concordia.sa.edu.au,k-12,2026-09-14,Active,cricos:2026-09-13,
Central Queensland University,cqu.edu.au,university/college,2026-09-14,Inaccessible,cricos:2026-09-13,
Charles Sturt University (CSU),csu.edu.au,university/college,2026-09-13,Inaccessible,cricos:2026-09-13,
Edith Cowan University,ecu.edu.au,university/college,2026-09-14,Active,cricos:2026-09-13,
ELC Career College Pty Ltd,elc.edu.au,k-12,2026-09-13,Active,cricos:2026-09-13,
Eltham College,elthamcollege.vic.edu.au,k-12,2026-09-13,Active,cricos:2026-09-13,
Australian College of Natural Medicine Pty Ltd,endeavour.edu.au,k-12,2026-09-14,Active,cricos:2026-09-13,
Flinders University,flinders.edu.au,university/college,2026-09-13,Active,cricos:2026-09-13,
Gordon Institute of TAFE,gordontafe.edu.au,university/college,2026-09-13,Inaccessible,cricos:2026-09-13,
Griffith University,griffith.edu.au,university/college,2026-09-14,Inaccessible,cricos:2026-09-13,
Holmes Colleges Sydney Pty Ltd,holmes.edu.au,other,2026-09-13,Active,cricos:2026-09-13,
Holmesglen Institute,holmesglen.edu.au,university/college,2026-09-13,Active,cricos:2026-09-13,
Immanuel College,immanuel.sa.edu.au,k-12,2026-09-14,Inaccessible,cricos:2026-09-13,
Canberra Institute of Technology,international.cit.edu.au,university/college,2026-09-13,Inaccessible,cricos:2026-09-13,
Department for Education,internationalstudents.sa.edu.au,other,2026-09-13,Active,cricos:2026-09-13,
James Cook University,jcu.edu.au,university/college,2026-09-13,Inaccessible,cricos:2026-09-13,
La Trobe University (La Trobe),latrobe.edu.au,university/college,2026-09-13,Inaccessible,cricos:2026-09-13,
Mercedes College Springfield,mercedes.catholic.edu.au,k-12,2026-09-14,Active,cricos:2026-09-13,
Monash University (Monash),monash.edu.au,university/college,2026-09-13,Inaccessible,cricos:2026-09-13,
Macquarie University (Macquarie),mq.edu.au,university/college,2026-09-13,Active,cricos:2026-09-13,
Muirden Senior Secondary College,muirden.sa.edu.au,k-12,2026-09-14,Active,cricos:2026-09-13,
Murdoch University (Murdoch),murdoch.edu.au,university/college,2026-09-13,Active,cricos:2026-09-13,
Navitas English Services Pty Ltd,navitasenglish.edu.au,other,2026-09-14,Active,cricos:2026-09-13,
Prince Alfred College Inc,pac.edu.au,k-12,2026-09-14,Active,cricos:2026-09-13,
Pembroke School Inc,pembroke.sa.edu.au,k-12,2026-09-14,Active,cricos:2026-09-13,
Photography Holdings Pty Ltd,psc.edu.au,other,2026-09-14,Active,cricos:2026-09-13,
Queensland University of Technology (QUT),qut.edu.au,university/college,2026-09-14,Inaccessible,cricos:2026-09-13,
Royal Melbourne Institute of Technology,rmit.edu.au,university/college,2026-09-13,Active,cricos:2026-09-13,
Royal Victorian Aero Club,rvac.com.au,other,2026-09-14,Active,cricos:2026-09-13,
St Aloysius College,sac.sa.edu.au,k-12,2026-09-14,Active,cricos:2026-09-13,
Lan-Grove Office Training Centre Pty Ltd,sbta.com.au,other,2026-09-14,Active,cricos:2026-09-13,
St Michael's Grammar School,stmichaels.vic.edu.au,k-12,2026-09-14,Active,cricos:2026-09-13,
St Peter's Collegiate Girls' School,stpetersgirls.sa.edu.au,k-12,2026-09-14,Active,cricos:2026-09-13,
Engineering Institute of Technology,student.eit.edu.au,university/college,2026-09-13,Inaccessible,hipo:2026-09-13,
The University of Sydney,sydney.edu.au,university/college,2026-09-13,Active,cricos:2026-09-13;openalex:page3,
Department of Training and Workforce Development,tafeinternational.wa.edu.au,other,2026-09-13,Active,cricos:2026-09-13,
Gordon Institute of TAFE,thegordon.edu.au,university/college,2026-09-13,Active,redirect:gordontafe.edu.au,
Think: Colleges Pty Ltd,think.edu.au,other,2026-09-14,Active,cricos:2026-09-13,
Tintern Grammar,tintern.vic.edu.au,other,2026-09-14,Active,cricos:2026-09-13,
Toorak College,toorakcollege.vic.edu.au,k-12,2026-09-14,Active,cricos:2026-09-13,
Trinity Grammar School Kew,trinity.vic.edu.au,k-12,2026-09-14,Active,cricos:2026-09-13,
University of New England,une.edu.au,university/college,2026-09-13,Inaccessible,cricos:2026-09-13,
The University of Melbourne (UniMelb),unimelb.edu.au,university/college,2026-09-13,Inaccessible,cricos:2026-09-13;openalex:page3;deqar:2026-09-14,
University of Southern Queensland,unisq.edu.au,university/college,2026-09-14,Active,redirect:usq.edu.au,
The University of Queensland,uq.edu.au,university/college,2026-09-13,Active,cricos:2026-09-13;openalex:page4,
University of Southern Queensland,usq.edu.au,university/college,2026-09-14,Inaccessible,cricos:2026-09-13,
The University of Western Australia (UWA),uwa.edu.au,university/college,2026-09-13,Active,cricos:2026-09-13,
Victoria University,vu.edu.au,university/college,2026-09-14,Active,cricos:2026-09-13,
Wesley College Melbourne,wesleycollege.edu.au,k-12,2026-09-14,Inaccessible,cricos:2026-09-13,
Westbourne Grammar School,westbournegrammar.com,k-12,2026-09-14,Active,cricos:2026-09-13,24
Yarra Valley Grammar School,yvg.vic.edu.au,k-12,2026-09-14,Inaccessible,cricos:2026-09-13,
