school_name,web_domain,type,last_visited,status,sources,years_registered
Pan-European University Apeiron,apeiron-uni.eu,university/college,2026-09-17,Inaccessible,deqar:2026-09-16,
"Information Technology, Economics and Entrepreneurship College",blc.edu.ba,university/college,2026-09-17,Active,deqar:2026-09-16,
Visoka škola Koledž kozmetologije i estetike Banja Luka,fakultetkozmetologije.com,university/college,2026-09-17,Inaccessible,deqar:2026-09-16,
University of Business Engineering and Management in Banja Luka,herofi.io,university/college,2026-09-17,Inaccessible,redirect:univerzitetpim.com,
International Burch University,ibu.edu.ba,university/college,2026-09-17,Active,deqar:2026-09-16;hipo:2026-09-17,
International University of Travnik,iu-travnik.com,university/college,2026-09-17,Inaccessible,deqar:2026-09-16;hipo:2026-09-17,18
Banja Luka College of Communications Kappa Phi,kfbl.edu.ba,university/college,2026-09-17,Inaccessible,deqar:2026-09-16,
"""Logos centar"" College Mostar",logos-centar.com,university/college,2026-09-17,Active,deqar:2026-09-16,15
Independent University Banja Luka,nubl.org,university/college,2026-09-17,Inaccessible,deqar:2026-09-16,19
"College for Applied and Legal Sciences ""Prometej""",prometejbl.edu.ba,university/college,2026-09-17,Inaccessible,deqar:2026-09-16,
Sarajevo School of Science and Technology,ssst.edu.ba,university/college,2026-09-17,Active,deqar:2026-09-16,
University of Mostar,sum.ba,university/college,2026-09-17,Active,deqar:2026-09-16,
Vsioka škola za turizam i hotelijerstvo,thtrebinje.com,university/college,2026-09-17,Inaccessible,deqar:2026-09-16,11
University of Bihać,unbi.ba,university/college,2026-09-17,Active,deqar:2026-09-16;hipo:2026-09-17,
University of Banja Luka,unibl.org,university/college,2026-09-17,Active,deqar:2026-09-16;hipo:2026-09-17,22
University of Business Engineering and Management in Banja Luka,univerzitetpim.com,university/college,2026-09-17,Inaccessible,deqar:2026-09-16,19
University of Business Studies in Banja Luka,univerzitetps.com,university/college,2026-09-17,Active,deqar:2026-09-16,20
"Univerzitet u Mostaru ""Dzemal Bijedic""",unmo.ba,university/college,2026-09-17,Active,deqar:2026-09-16;hipo:2026-09-17,
University of Sarajevo,unsa.ba,university/college,2026-09-17,Active,deqar:2026-09-16;hipo:2026-09-17,
University of Travnik,unt.ba,university/college,2026-09-17,Inaccessible,deqar:2026-09-16,
University Vitez In Travnik,unvi.edu.ba,university/college,2026-09-17,Active,deqar:2026-09-16;hipo:2026-09-17,
Union Mostar High School,uwcmostar.ba,university/college,2026-09-17,Inaccessible,deqar:2026-09-16,
Victoria International University,viu.ba,university/college,2026-09-17,Active,deqar:2026-09-16,
School of Applied Medical Sciences  Prijedor,vmspd.com,university/college,2026-09-17,Inaccessible,deqar:2026-09-16,19
School of Applied Medical Sciences  Prijedor,vmspd.org,university/college,2026-09-17,Active,redirect:vmspd.com,1
Visoka škola za ekonomiju i informatiku Prijedor,vseip.com,university/college,2026-09-17,Inaccessible,deqar:2026-09-16,9
Visoka škola za uslužni biznis,vub.edu.ba,university/college,2026-09-17,Active,deqar:2026-09-16,
