school_name,web_domain,type,last_visited,status,sources,years_registered
American International University - Bangladesh,aiub.edu,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,27
Asa University Bangladesh,asaub.edu.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Atish Dipankar University,atishdipankaruniversity.edu.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Asian University of Bangladesh,aub-bd.org,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,19
Ahsanullah University of Science & Technology,aust.edu,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,26
Bangladesh Agricultural University,bau.edu.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
"BGC Trust University, Bangladesh",bgctrustbd.org,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,15
Bangladesh Open University,bou.edu.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Brac University,bracu.ac.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
"Begum Rokeya University, Rangpur",brur.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Bangabandhu Sheikh Mujibur Rahman Medical University,bsmmu.edu.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Bangabandhu Sheikh Mujibur Rahman Agricultural University,bsmrau.edu.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Bangladesh University,bu.edu.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;ror:api-p33;hipo:2026-09-20,
Bangladesh University of Business & Technology,bubt.edu.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Bangladesh University of Engineering and Technology,buet.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Bangladesh University of Professionals,bup.edu.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Bangladesh University of Textiles,butex.edu.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
City University,cityuniversity.edu.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Comilla University,cou.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
University of Chittagong,cu.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Chittagong University of Engineering and Technology,cuet.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Daffodil International University,daffodilvarsity.edu.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;redirect:diu.edu.bd,
Darul Ihsan University,diu.ac.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Daffodil International University,diu.edu.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Dhaka International University,diu.net.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
University of Dhaka,du.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Dhaka University of Engineering and Technology,duet.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
East Delta University,eastdelta.edu.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Eastern University,easternuni.edu.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
East West University,ewubd.edu,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,26
Bangabandhu Sheikh Mujibur Rahman Agricultural University,gau.edu.bd,university/college,2026-09-20,Active,redirect:bsmrau.edu.bd,
Green University of Bangladesh,green.edu.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Hajee Mohammad Danesh Science and Technology University,hstu.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
IBAIS University,ibaisuniv.edu.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
International Culture University,icu-edu.org,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,1
International Islamic University Chittagong,iiuc.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Islamic University Kushtia,iu.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
"Independent University, Bangladesh",iub.edu.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
International University of Business Agriculture and Technology,iubat.edu,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,27
Islamic University of Technology,iutoic-dhaka.edu,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,24
Jatiya Kabi Kazi Nazrul Islam University,jkkniu.edu.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Jagannath University,jnu.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Jahangirnagar University,juniv.edu,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,28
Khulna University,ku.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Khulna University of Engineering And Technology,kuet.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Leading University,lus.ac.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Manarat International University,manarat.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Mawlana Bhashani Science And Technology University,mbstu.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Metropolitan University,metrouni.edu.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Military Institute of Science and Technology,mist.ac.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
North East University Bangladesh,neub.edu.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
North South University,northsouth.edu,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,29
Noakhali Science and Technology University,nstu.edu.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
National University,nu.edu.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Northern University Bangladesh,nub.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Presidency University,presidency.edu.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Patuakhali Science and Technology University,pstu.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Presidency University,pu.edu.bd,university/college,2026-09-20,Active,redirect:presidency.edu.bd,
People's University of Bangladesh,pub.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Premier University,puc.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Pabna University of Science and Technology,pust.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Queens University,queensuniversity.edu.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
University of Rajshahi,ru.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Rajshahi University of Engineering and Technology,ruet.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Sylhet Agricultural University,sau.ac.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Sylhet Engineering College,sec.ac.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Southeast University,seu.ac.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Southeast University,seu.edu.bd,university/college,2026-09-20,Inaccessible,redirect:seu.ac.bd,
Sylhet International University,siu.edu.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Southern University Bangladesh,southern.edu.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Stamford University,stamforduniversity.edu.bd,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Shahjalal University of Science and Technology,sust.edu,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,27
"University of Asia Pacific, Dhanmondi",uap-bd.edu,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,25
University of Information Technology & Sciences,uits.ac.bd,university/college,2026-09-20,Active,redirect:uits.edu.bd,
University of Information Technology & Sciences,uits.edu.bd,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
