school_name,web_domain,type,last_visited,status,sources,years_registered
Circle U. European University alliance,circle-u.eu,university/college,2026-09-15,Active,deqar:2026-09-15,
Erasmus University College Brussels,erasmushogeschool.be,university/college,2026-09-15,Active,deqar:2026-09-15,
EUNICE - European University for Customised Education,eunice-university.eu,university/college,2026-09-15,Active,deqar:2026-09-15,
Institute for Tropical Medicine,itg.be,university/college,2026-09-15,Active,deqar:2026-09-15,
KU Leuven,kuleuven.be,university/college,2026-09-14,Active,openalex:page4,
PharmaTrain Federation,pharmatrain.eu,university/college,2026-09-15,Active,ror:api-p9,
Royal Military Academy,rma.ac.be,university/college,2026-09-15,Active,deqar:2026-09-15,
University of Liège,uliege.be,university/college,2026-09-14,Active,openalex:page5,
Una Europa,una-europa.eu,university/college,2026-09-15,Active,deqar:2026-09-15,
von Karman Institute for Fluid Dynamics,vki.ac.be,university/college,2026-09-15,Inaccessible,deqar:2026-09-15,
