school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
"Academy of Music, Dance and Fine Arts",amti.hit.bg,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,,,,
Agricultural University of Plovdiv,au-plovdiv.bg,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,,,,
American University in Bulgaria,aubg.bg,university/college,2026-09-18,Inaccessible,deqar:2026-09-16;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,,,,
Institute of Balkan Studies with Center for Thracology “Prof. Alexander Fol”,balkanstudies.bg,university/college,2026-09-18,Active,deqar:2026-09-17,,,,,
Bulgarian Academy of Sciences,bas.bg,university/college,2026-09-18,Active,deqar:2026-09-17,,,,,
Bourgas Free University,bfu.bg,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,,,,
Institute of Neurobiology,bio.bas.bg,university/college,2026-09-18,Inaccessible,deqar:2026-09-17,,,,,
Institute of Molecular Biology “Acad. Roumen Tsanev”,bio21.bas.bg,university/college,2026-09-18,Inaccessible,deqar:2026-09-17,,,,,
"Bourgas University ""Prof. Assen Zlatarov""",btu.bg,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,,,,
Laboratory of Telematics,cc.bas.bg,university/college,2026-09-18,Inaccessible,deqar:2026-09-17,,,,,
City University Programs in Bulgaria,cityu.bg,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,,,,
Blagoevgrad College of Tourism,cotur.bg,university/college,2026-09-18,Active,deqar:2026-09-16,,,,,
Krastyo Sarafov National Academy for Theatre and Film Arts,en.natfiz.bg,university/college,2026-09-18,Active,deqar:2026-09-17,,,,,
Geological Institute “Strashimir Dimitrov”,geology.bas.bg,university/college,2026-09-18,Inaccessible,deqar:2026-09-17,,,,,
Institute of Ethnology and Folklore Studies with Ethnographic Museum,iefem.bas.bg,university/college,2026-09-18,Active,deqar:2026-09-17,,,,,
Economic Research Institute,iki.bas.bg,university/college,2026-09-18,Active,deqar:2026-09-17,,,,,
Institute for Literature,ilit.bas.bg,university/college,2026-09-18,Active,deqar:2026-09-17,,,,,
