school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
UNIAENE - Adventist University Teaching Center of the Northeast,adventista.edu.br,university/college,2026-09-16,Inaccessible,wikidata:P856,25,,,,
Faculdade Integrada Tiradentes,al.unit.br,university/college,2026-09-18,Inaccessible,wikidata:P856,28,,,,
Faculdade Nova Roma,aldivanolopes.com.br,university/college,2026-09-18,Inaccessible,redirect:faculdadenovaroma.com.br,2,,,,
Faculdade América Latina,americalatina.edu.br,university/college,2026-09-16,Inaccessible,wikidata:P856,16,,,,
Escola Nacional Florestan Fernandes,amigosenff.org.br,university/college,2026-09-16,Active,wikidata:P856,16,,,,
Faculdade Teológica Batista Ana Wollerman,anawollerman.com.br,university/college,2026-09-18,Inaccessible,wikidata:P856,22,,,,
Universidade Bandeirante de São Paulo,anhanguera.com,university/college,2026-09-20,Inaccessible,redirect:uniban.br,21,,,,
Universidade Anhembi Morumbi,anhembi.br,university/college,2026-09-14,Active,osm:BR-Saopaulo;deqar:2026-09-16;hipo:2026-09-20;hipo:2026-09-21,30,,,,
Escola de Arquitetura da Universidade Federal de Minas Gerais,arq.ufmg.br,university/college,2026-09-16,Inaccessible,wikidata:P856,30,,,,
Faculdade América Latina,atitus.edu.br,university/college,2026-09-16,Active,redirect:americalatina.edu.br,4,,,,
Bahiana School of Medicine and Public Health,bahiana.edu.br,university/college,2026-09-16,Active,wikidata:P856,19,,,,
Escola de Idiomas Bahnhof,bahnhof.com.br,university/college,2026-09-14,Inaccessible,osm:BR-Saopaulo,22,,,,
Centro Universitário Barao de Maua,baraodemaua.br,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,27,,,,
Universidade Braz Cubas,brazcubas.br,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,28,,,,
Business School São Paulo,bsp.edu.br,university/college,2026-09-14,Active,osm:BR-Saopaulo,22,,,,
Faculdade Campo Real,camporeal.edu.br,university/college,2026-09-17,Inaccessible,wikidata:P856,25,,,,
Universidade Candido Mendes,candidomendes.br,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,30,,,,
Universidade Castelo Branco,castelobranco.br,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,30,,,,
Faculdade Católica do Tocantins,catolica-to.edu.br,university/college,2026-09-17,Inaccessible,wikidata:P856,23,,,,
