school_name,web_domain,type,last_visited,status,sources,years_registered
ABM University College,abm.ac.bw,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Botswana Accountancy College,bac.ac.bw,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Botswana College of Agriculture,bca.bw,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Botswana International University of Science & Technology,biust.ac.bw,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Botho University,bothocollege.ac.bw,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Botho University,bothouniversity.com,university/college,2026-09-20,Inaccessible,redirect:bothocollege.ac.bw,14
Gaborone Universal College of Law,guc.ac.bw,university/college,2026-09-20,Active,redirect:guc.co.bw,
Gaborone Universal College of Law,guc.co.bw,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
"New Era College of Arts, Science & Technology",neweracollege.ac.bw,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
University of Botswana,ub.bw,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
