school_name,web_domain,type,last_visited,status,sources,years_registered
Algonquin College,algonquincollege.com,university/college,2026-09-18,Active,ror:api-p19;hipo:2026-09-17;hipo:2026-09-18,28
Cégep Garneau,cegepgarneau.ca,university/college,2026-09-16,Active,ror:api-p14,14
Canadian Institute for Energy Training,cietcanada.com,university/college,2026-09-16,Inaccessible,ror:api-p14,27
Collège Lionel Groulx,clg.qc.ca,university/college,2026-09-16,Active,ror:api-p14,25
College of the North Atlantic,cna.nl.ca,university/college,2026-09-16,Active,ror:api-p15,23
College Ahuntsic,collegeahuntsic.qc.ca,university/college,2026-09-16,Active,ror:api-p14,25
Collège d'Alma,collegealma.ca,university/college,2026-09-16,Inaccessible,ror:api-p14,14
Collège Shawinigan,collegeshawinigan.ca,university/college,2026-09-16,Inaccessible,ror:api-p15,16
Cégep de Saint-Jérôme,cstj.qc.ca,university/college,2026-09-13,Active,hipo:2026-09-11;hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18,24
École de théâtre professionnelle du Collège Lionel-Groulx,etp.clg.qc.ca,university/college,2026-09-18,Active,wikidata:P856,
McGill University,mcgill.ca,university/college,2026-09-14,Active,openalex:page4;hipo:2026-09-17;hipo:2026-09-18,25
McMaster University,mcmaster.ca,university/college,2026-09-16,Active,openalex:page10;hipo:2026-09-17;hipo:2026-09-18,25
Collège Mérici,merici.ca,university/college,2026-09-16,Inaccessible,ror:api-p14,24
Queen's University,queensu.ca,university/college,2026-09-18,Active,openalex:page18;hipo:2026-09-17;hipo:2026-09-18,25
Red River College,rrc.mb.ca,university/college,2026-09-16,Inaccessible,ror:api-p15,25
Toronto Baptist Seminary and Bible College,tbs.edu,university/college,2026-09-15,Active,hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18,30
University of Alberta,ualberta.ca,university/college,2026-09-14,Inaccessible,openalex:page5;hipo:2026-09-17;hipo:2026-09-18,25
University of British Columbia,ubc.ca,university/college,2026-09-15,Active,openalex:page2;hipo:2026-09-17;hipo:2026-09-18,25
University of Calgary,ucalgary.ca,university/college,2026-09-15,Active,openalex:page9;hipo:2026-09-17;hipo:2026-09-18,25
Université Laval,ulaval.ca,university/college,2026-09-17,Active,openalex:page16;hipo:2026-09-17;hipo:2026-09-18,25
University of Manitoba,umanitoba.ca,university/college,2026-09-18,Active,openalex:page18;hipo:2026-09-17;hipo:2026-09-18,25
Université de Montréal,umontreal.ca,university/college,2026-09-16,Active,openalex:page10;hipo:2026-09-17;hipo:2026-09-18,25
University of Ottawa,uottawa.ca,university/college,2026-09-16,Active,openalex:page12;hipo:2026-09-17;hipo:2026-09-18,25
University of Toronto,utoronto.ca,university/college,2026-09-14,Inaccessible,openalex:page1;hipo:2026-09-17;hipo:2026-09-18,25
University of Waterloo,uwaterloo.ca,university/college,2026-09-16,Active,openalex:page13;hipo:2026-09-17;hipo:2026-09-18,25
Western University,uwo.ca,university/college,2026-09-16,Active,openalex:page11;hipo:2026-09-17;hipo:2026-09-18,25
