school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Universidad Academia de Humanismo Cristiano,academia.cl,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,0,fetch-error:ConnectionError,academia.cl,
Escuela de Arquitectura y Diseño,arquitecturaucv.cl,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,0,fetch-error:ConnectionError,arquitecturaucv.cl,
Universidad Austral de Chile,uach.cl,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,uach.cl,es
Universidad de Aconcagua,uaconcagua.cl,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,0,fetch-error:ReadTimeout,uaconcagua.cl,
Universidad Alberto Hurtado,uahurtado.cl,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,uahurtado.cl,es-cl
Universidad Adolfo Ibáñez,uai.cl,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,uai.cl,es
Universidad de Las Américas,uamericas.cl,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,0,fetch-error:ConnectionError,uamericas.cl,
Universidad de Los Andes,uandes.cl,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,80,http-2xx-html+multi-source+edu-keywords+substantial-content,uandes.cl,es-cl
Universidad de Antofagasta,uantof.cl,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,uantof.cl,es-es
Universidad Autonoma del Sur,uas.cl,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,0,fetch-error:ConnectionError,uas.cl,
