school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Bamenda University of Science & Technology,bamendauniversity.com,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,17,,,,
Fomic Polytechnic,fomicgroup.cm,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,3,,,,
Université de Buéa,ubuea.cm,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,15,,,,
Université des Montagnes,udesmontagnes.org,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,19,,,,
Université de Bamenda,unibda.net,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,13,,,,
Université de Douala,univ-douala.com,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,17,0,fetch-error:SSLError,univ-douala.com,
Université de Dschang,univ-dschang.org,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,20,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,univ-dschang.org,fr-fr
Université de Ngaoundéré,univ-ndere.cm,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,16,0,fetch-error:ConnectionError,univ-ndere.cm,
Université de Yaoundé II,universite-yde2.org,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,6,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,universite-yde2.org,fr-fr
Université de Yaoundé I,uy1.uninet.cm,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,uy1.uninet.cm,en-us
