school_name,web_domain,type,last_visited,status,sources,years_registered
Central South University,csu.edu.cn,university/college,2026-09-14,Active,openalex:page6,
Changchun University of Science and Technology,cust.edu.cn,university/college,2026-09-14,Active,wikidata:P856,
East University Of Heilongjiang,dfxy.net,university/college,2026-09-13,Inaccessible,ror:api-p1,23
Huazhong University of Science and Technology,english.hust.edu.cn,university/college,2026-09-14,Active,openalex:page5,
Fudan University,fudan.edu.cn,university/college,2026-09-15,Active,openalex:page6,
Hunan University,hnu.edu.cn,university/college,2026-09-13,Inaccessible,hipo:2026-09-11;hipo:2026-09-13,
New Huadu Business School,nbs.edu.cn,university/college,2026-09-13,Inaccessible,ror:api-p2,
Peking University,pku.edu.cn,university/college,2026-09-13,Active,openalex:page2,
Sichuan University,scu.edu.cn,university/college,2026-09-14,Inaccessible,openalex:page5,
Wuhan University Faculty of Social Sciences,shxx.whu.edu.cn,university/college,2026-09-14,Inaccessible,wikidata:P856,
Shanghai Jiao Tong University,sjtu.edu.cn,university/college,2026-09-13,Inaccessible,openalex:page2,
Sun Yat-sen University,sysu.edu.cn,university/college,2026-09-14,Active,openalex:page4,
Shazhou Professional Institute Of Technology,szit.edu.cn,university/college,2026-09-13,Inaccessible,ror:api-p3,
Tsinghua University,tsinghua.edu.cn,university/college,2026-09-13,Inaccessible,openalex:page2,
University of Chinese Academy of Sciences,ucas.ac.cn,university/college,2026-09-15,Active,openalex:page2,
Hunan University,www-en.hnu.edu.cn,university/college,2026-09-14,Active,hipo:2026-09-11;hipo:2026-09-13,
Zhejiang University,zju.edu.cn,university/college,2026-09-14,Inaccessible,openalex:page2,
