school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Instituto Superior Politécnico José Antonio Echeverría,cujae.edu.cu,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22,,0,fetch-error:ConnectionError,cujae.edu.cu,
"Instituto Superior Minero Metalúrgico ""Dr. Antonio Núñez Jiménez""",ismm.edu.cu,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22,,0,fetch-error:ConnectionError,ismm.edu.cu,
"Universidad Pedagógica ""José Martí"", Camagüey",ispcmw.rimed.cu,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22,,0,fetch-error:ConnectionError,ispcmw.rimed.cu,
Universidad de Camagüey,reduc.edu.cu,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22,,0,fetch-error:ConnectionError,reduc.edu.cu,
Universidad de Cienfuegos,ucf.edu.cu,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22,,0,fetch-error:ConnectTimeout,ucf.edu.cu,
Universidad Central de Las Villas,uclv.edu.cu,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22,,40,low-confidence:http-2xx-html+multi-source+trusted-suffix+non-educational-content,oops.uclv.edu.cu,
Universidad de Granma,udg.co.cu,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22,,0,fetch-error:ConnectionError,udg.co.cu,
Universidad de La Habana,uh.cu,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,uh.cu,es-es
Universidad de Holguín,uho.edu.cu,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22,,0,fetch-error:ReadTimeout,uho.edu.cu,
Universidad de Matanzas Camilo Cienfuegos,umcc.cu,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22,,0,fetch-error:ConnectTimeout,umcc.cu,
Universidad de Ciego de Avila,unica.cu,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22,,80,http-2xx-html+multi-source+edu-keywords+substantial-content,unica.cu,es
Universidad de Oriente,uo.edu.cu,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22,,0,fetch-error:ReadTimeout,uo.edu.cu,
Universidad de Pinar del Río,upr.edu.cu,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22,,0,fetch-error:ConnectionError,upr.edu.cu,
