school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",akad.de,university/college,2026-09-23,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,100,http-2xx-html+multi-source+schema.org-edu+edu-keywords+structure+substantial-content,akad.de,de-de
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,asfh-berlin.de,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,0,fetch-error:SSLError,asfh-berlin.de,
Augustana Hochschule Neuendettelsau,augustana.de,university/college,2026-09-23,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,augustana.de,de-de
Federal Academy of Public Administration,bakoev.bund.de,university/college,2026-09-19,Inaccessible,wikidata:P856,,,,,
Bard College Berlin,berlin.bard.edu,university/college,2026-09-17,Active,ror:api-p17,,,,,
Kirchliche Hochschule Bethel,bethel.de,university/college,2026-09-23,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,bethel.de,de
Bundestechnologiezentrum für Elektro- und Informationstechnik,bfe.de,university/college,2026-09-19,Active,wikidata:P856,,,,,
Technische Fachhochschule Berlin,bht-berlin.de,university/college,2026-09-23,Active,redirect:tfh-berlin.de,,50,http-2xx-html+edu-keywords+substantial-content,bht-berlin.de,de-de
University of Europe for Applied Sciences,bits-hochschule.de,university/college,2026-09-15,Inaccessible,wikidata:P856,,,,,
BiTS - Business and Information Technology School gGmbH,bits-iserlohn.de,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,0,fetch-error:SSLError,bits-iserlohn.de,
Bundesakademie für Kulturelle Bildung Wolfenbüttel,bundesakademie.de,university/college,2026-09-19,Inaccessible,wikidata:P856,,,,,
Bundesfinanzakademie,bundesfinanzakademie.de,university/college,2026-09-19,Inaccessible,wikidata:P856,,,,,
Bundesfinanzakademie,bundesfinanzministerium.de,university/college,2026-09-19,Inaccessible,redirect:bundesfinanzakademie.de,,,,,
Burg Giebichenstein University of Art and Design Halle,burg-halle.de,university/college,2026-09-14,Active,wikidata:P856,,,,,
Cologne Business School,cbs.de,university/college,2026-09-23,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;redirect:eufh.de;hipo:2026-09-24,,100,http-2xx-html+multi-source+schema.org-edu+edu-keywords+structure+substantial-content,cbs.de,de-de
Charité – Universitätsmedizin Berlin,charite.de,university/college,2026-09-23,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,charite.de,de
"Evangelische Fachhochschule für Religionspädagogik, und Gemeindediakonie Moritzburg",cheaphotelguide.com,university/college,2026-09-23,Inaccessible,redirect:fhs-moritzburg.de,3,30,low-confidence:http-2xx-html+structure+non-educational-content,cheaphotelguide.com,en
CODE University of Applied Sciences Berlin,code.berlin,university/college,2026-09-23,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,12,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,code.berlin,en
Jacobs University Bremen,constructor.university,university/college,2026-09-23,Active,redirect:jacobs-university.de,4,60,http-2xx-html+edu-keywords+structure+substantial-content,constructor.university,en
Philosophisch-Theologische Hochschule Münster,cts-hochschule.de,university/college,2026-09-23,Active,redirect:pth-muenster.de,,50,http-2xx-html+edu-keywords+substantial-content,cts-hochschule.de,de
Deutsche Hochschule für Verwaltungswissenschaften Speyer,dhv-speyer.de,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,0,fetch-error:ConnectionError,dhv-speyer.de,
DIPLOMA-Fachhochschule Ölsnitz/Vogtland,diploma.de,university/college,2026-09-23,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,100,http-2xx-html+multi-source+schema.org-edu+edu-keywords+structure+substantial-content,diploma.de,de
Deutsche Sporthochschule Köln,dshs-koeln.de,university/college,2026-09-23,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,dshs-koeln.de,de
E.A.P. Europäische Wirtschaftshochschule Berlin,eap.net,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,29,5,empty-body,eap.net,
Europäische Betriebswirtschafts-Akademie,eba-muenchen.de,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,0,fetch-error:SSLError,eba-muenchen.de,
European Business School Schloß Reichartshausen,ebs.de,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,0,fetch-error:SSLError,ebs.de,
European College of Liberal Arts,ecla.de,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,0,fetch-error:SSLError,ecla.de,
Evangelische Fachhochschule Rheinland-Westfalen-Lippe,efh-bochum.de,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,5,http-404,efh-bochum.de,
"Evangelische Fachhochschule Freiburg, Hochschule für Soziale Arbeit, Diakonie und Religionspädagogik",efh-freiburg.de,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,0,fetch-error:SSLError,efh-freiburg.de,
Evangelische Fachhochschule Hannover,efh-hannover.de,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,0,fetch-error:ConnectionError,efh-hannover.de,
"Evangelische Fachhochschule Reutlingen-Ludwigsburg, Hochschule für Soziale Arbeit, Religionspädagogik und Diakonie",efh-reutlingen-ludwigsburg.de,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,40,moved-to:eh-ludwigsburg.de,eh-ludwigsburg.de,de
Evangelische Fachhochschule Ludwigshafen Hochschule für Sozial- und Gesundheitswesen,efhlu.de,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,5,moved-to:p2-1.afp24.net,p2-1.afp24.net,
Evangelische Fachhochschule Darmstadt,eh-darmstadt.de,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,40,moved-to:eh-hessen.de,eh-hessen.de,de-de
Evangelische Fachhochschule Darmstadt,eh-hessen.de,university/college,2026-09-23,Active,redirect:eh-darmstadt.de,,60,http-2xx-html+edu-keywords+structure+substantial-content,eh-hessen.de,de-de
"Evangelische Fachhochschule Reutlingen-Ludwigsburg, Hochschule für Soziale Arbeit, Religionspädagogik und Diakonie",eh-ludwigsburg.de,university/college,2026-09-23,Active,redirect:efh-reutlingen-ludwigsburg.de,,50,http-2xx-html+edu-keywords+substantial-content,eh-ludwigsburg.de,de
Evangelische Hochschule für Soziale Arbeit Dresden (FH),ehs-dresden.de,university/college,2026-09-23,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,ehs-dresden.de,de
European Management School,ems-mainz.de,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,0,fetch-error:ConnectTimeout,ems-mainz.de,
