school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Brookdale Community College,brookdale.edu.ec,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,0,fetch-error:ConnectionError,brookdale.edu.ec,
Universidad Casa Grande,casagrande.edu.ec,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,15,5,http-403,casagrande.edu.ec,
Escuela Politécnica Nacional,epn.edu.ec,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,15,0,fetch-error:SSLError,epn.edu.ec,
Escuela Politécnica del Ejercito,espe.edu.ec,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,15,0,fetch-error:ConnectionError,espe.edu.ec,
Escuela Politécnica de Chimborazo,espoch.edu,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,0,fetch-error:ConnectionError,espoch.edu,
Escuela Superior Politécnica del Litoral,espol.edu.ec,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,15,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,espol.edu.ec,es
Universidad Tecnológica Indoamérica,indoamerica.edu.ec,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,8,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,indoamerica.edu.ec,es
Universidad Internacional del Ecuador,internacional.edu.ec,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,15,0,fetch-error:ConnectTimeout,internacional.edu.ec,
Pontificia Universidad Católica del Ecuador,puce.edu.ec,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,15,0,fetch-error:ConnectionError,puce.edu.ec,
Universidad Internacional SEK,sek.edu,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,29,40,moved-to:sek.net,sek.net,en-gb
Universidad Internacional SEK,sek.net,university/college,2026-09-22,Active,redirect:sek.edu,29,60,http-2xx-html+edu-keywords+structure+substantial-content,sek.net,en-gb
Universidad Agraria del Ecuador,uagraria.edu.ec,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,15,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,uagraria.edu.ec,es
Universidad Andina Simón Bolívar,uasb.edu.ec,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,15,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,uasb.edu.ec,es
Universidad del Azuay,uazuay.edu.ec,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,15,100,http-2xx-html+multi-source+schema.org-edu+edu-keywords+structure+substantial-content,uazuay.edu.ec,es
Universidad Catolica de Azogues,ucaazo.edu.ec,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,0,fetch-error:ConnectionError,ucaazo.edu.ec,
Universidad Católica de Cuenca,ucacue.edu.ec,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,15,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,ucacue.edu.ec,es
Universidad Central del Ecuador,ucentral.edu.ec,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,0,fetch-error:ConnectionError,ucentral.edu.ec,
Universidad Católica de Santiago de Guayaquil,ucsg.edu.ec,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,15,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,ucsg.edu.ec,es
Universidad de Especialidades Turísticas,uct.edu.ec,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,0,fetch-error:ConnectionError,uct.edu.ec,
Universidad de Cuenca,ucuenca.edu.ec,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,15,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,ucuenca.edu.ec,es-es
Universidad Estatal de Bolívar,ueb.isfun.net,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,0,fetch-error:ConnectionError,ueb.isfun.net,
