school_name,web_domain,type,last_visited,status,sources,years_registered
American International School in Egypt,aisegypt.com,university/college,2026-09-17,Active,ror:api-p18,23
مدرسه المجد الخاصه,almagdschool.com,k-12,2026-09-15,Inaccessible,osm:EG-Cairo,9
مدرسة المستقبل الحديثة,almostakbalms.com,k-12,2026-09-15,Active,osm:EG-Cairo,5
Berlitz Language Center,berlitz-egypt.com,university/college,2026-09-15,Inaccessible,osm:EG-Cairo,24
Cairo University,cu.edu.eg,university/college,2026-09-17,Inaccessible,openalex:page16;hipo:2026-09-17,
M.S.G International British School of Egypt,facebook.com,k-12,2026-09-15,Inaccessible,osm:EG-Cairo;osm:PH-Manila;fr-annuaire:2026-09-16,29
تجاره انجلش خارجيه جامعه حلوان,helwan.edu.eg,k-12,2026-09-15,Inaccessible,osm:EG-Cairo;hipo:2026-09-17,
Modern academy in Maadi (CS),modern-academy.edu.eg,university/college,2026-09-15,Active,osm:EG-Cairo;hipo:2026-09-17,
New Cairo Technological University,nctu.edu.eg,university/college,2026-09-16,Inaccessible,wikidata:P856,
الاكاديمية الوطنية للتدريب,nta.eg,k-12,2026-09-15,Active,osm:EG-Cairo,
المدرسة الألمانية الخاصة,private-deutsche-schule.de,k-12,2026-09-15,Inaccessible,osm:EG-Cairo,
مدارس الشعراوي الحديثة الخاصة,private-school-612.business.site,k-12,2026-09-15,Inaccessible,osm:EG-Cairo,9
Sonata Music Center,sonatamusiccenter.com,university/college,2026-09-15,Inaccessible,osm:EG-Cairo,
مدارس اسباتس الخاصة,spatiss.com,k-12,2026-09-15,Inaccessible,osm:EG-Cairo,
STEM High School for Boys-6th of October,stemegypt.net,k-12,2026-09-15,Active,osm:EG-Cairo,6
