school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Aalto University,aalto.fi,university/college,2026-09-23,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;openalex:page38;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,16,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,aalto.fi,fi
Abo Akademi University,abo.fi,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,35,80,http-2xx-html+multi-source+edu-keywords+substantial-content,abo.fi,sv-se
Central Ostrobothnia University of Applied Sciences,cou.fi,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,20,0,fetch-error:SSLError,cou.fi,
Diaconia University of Applied Sciences,diak.fi,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,35,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,diak.fi,fi
EVTEK University of Applied Sciences,evtek.fi,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,17,0,fetch-error:ConnectTimeout,evtek.fi,
University of Helsinki,helsinki.fi,university/college,2026-09-15,Active,openalex:page7;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,35,,,,
Helsinki School of Economics and Business Administration,hkkk.fi,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,16,0,fetch-error:SSLError,hkkk.fi,
Helsinki University of Technology,hut.fi,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,16,0,fetch-error:ConnectionError,hut.fi,
University of Joensuu,joensuu.fi,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,35,70,http-2xx-html+multi-source+structure+substantial-content,joensuu.fi,fi
University of Jyväskylä,jyu.fi,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;openalex:page47;hipo:2026-09-23,35,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,jyu.fi,fi
Academy of Fine Arts,kuva.fi,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,35,0,fetch-error:SSLError,kuva.fi,
Lahti Polytechnic,lamk.fi,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,24,0,fetch-error:SSLError,lamk.fi,
Laurea University of Applied Sciences,laurea.fi,university/college,2026-09-23,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,25,80,http-2xx-html+multi-source+edu-keywords+substantial-content,laurea.fi,fi
Scandinavian Art and Business Institute,liga367slot.co,university/college,2026-09-23,Inaccessible,redirect:sabi.eu.com,,40,low-confidence:http-2xx-html+structure+substantial-content+non-educational-content,liga367slot.co,vi
Lappeenranta University of Technology,lut.fi,university/college,2026-09-23,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,35,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,lut.fi,fi
Metropolia University of Applied Sciences,metropolia.fi,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;deqar:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,17,0,fetch-error:ReadTimeout,metropolia.fi,
Oulu Polytechnic,oamk.fi,university/college,2026-09-23,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,20,80,http-2xx-html+multi-source+edu-keywords+substantial-content,oamk.fi,fi
University of Oulu,oulu.fi,university/college,2026-09-23,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,35,100,http-2xx-html+multi-source+schema.org-edu+edu-keywords+structure+substantial-content,oulu.fi,fi
Vaasa University of Applied Sciences,puv.fi,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,35,40,moved-to:vamk.fi,vamk.fi,fi
Rovaniemi University of Applied Sciences,ramk.fi,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,35,0,fetch-error:ConnectionError,ramk.fi,
Scandinavian Art and Business Institute,sabi.eu.com,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,40,moved-to:liga367slot.co,liga367slot.co,vi
Satakunta University Of Applied Scinces,samk.fi,university/college,2026-09-23,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,24,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,samk.fi,fi
South Carelian Polytechnic,scp.fi,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,35,0,fetch-error:ConnectionError,scp.fi,
"Swedish School of Economics and Business Administration, Finland",shh.fi,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,35,0,fetch-error:ConnectTimeout,shh.fi,
Sibelius Academy,siba.fi,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,35,0,fetch-error:SSLError,siba.fi,
Lahti Polytechnic,student.lamk.fi,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,0,fetch-error:ConnectionError,student.lamk.fi,
Laurea University of Applied Sciences,student.laurea.fi,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,0,fetch-error:ConnectionError,student.laurea.fi,
Lappeenranta University of Technology,student.lut.fi,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,0,fetch-error:ConnectionError,student.lut.fi,
Theatre Academy Finland,teak.fi,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,35,0,fetch-error:SSLError,teak.fi,
Tampere Polytechnic,tpu.fi,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,35,0,fetch-error:ConnectionError,tpu.fi,
Turku School of Economics and Business Administration,tukkk.fi,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,0,5,http-403,tukkk.fi,
Tampere University of Technology,tuni.fi,university/college,2026-09-23,Inaccessible,redirect:tut.fi,9,0,fetch-error:ReadTimeout,tuni.fi,
Tampere University of Technology,tut.fi,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,35,5,moved-to:tuni.fi,tuni.fi,
University of Art and Design Helsinki,uiah.fi,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,16,0,fetch-error:ConnectionError,uiah.fi,
University of Kuopio,uku.fi,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,35,0,fetch-error:SSLError,uku.fi,
University of Lapland,ulapland.fi,university/college,2026-09-23,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,22,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,ulapland.fi,fi
University of Tampere,uta.fi,university/college,2026-09-23,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,35,0,fetch-error:ReadTimeout,uta.fi,
University of Turku,utu.fi,university/college,2026-09-23,Active,hipo:2026-09-17;openalex:page24;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;deqar:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,35,100,http-2xx-html+multi-source+schema.org-edu+edu-keywords+structure+substantial-content,utu.fi,fi
University of Vaasa,uwasa.fi,university/college,2026-09-23,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,35,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,uwasa.fi,fi
Vaasa University of Applied Sciences,vamk.fi,university/college,2026-09-23,Active,redirect:puv.fi,18,60,http-2xx-html+edu-keywords+structure+substantial-content,vamk.fi,fi
