school_name,web_domain,type,last_visited,status,sources,years_registered
Académie d'Aix-Marseille,ac-aix-marseille.fr,university/college,2026-09-13,Inaccessible,hipo:2026-09-11;hipo:2026-09-13,29
Académie de Créteil,ac-creteil.fr,university/college,2026-09-13,Inaccessible,hipo:2026-09-11;hipo:2026-09-13,28
Académie de Paris,ac-paris.fr,university/college,2026-09-13,Inaccessible,hipo:2026-09-11;hipo:2026-09-13,30
Collège Langevin-Wallon,blogpeda.ac-bordeaux.fr,k-12,2026-09-13,Inaccessible,fr-annuaire:2026-09-13,
Central Supélec,centralesupelec.fr,university/college,2026-09-13,Active,hipo:2026-09-11;hipo:2026-09-13,15
Collège Claude Chabrol,claudechabrol.entcreuse.fr,k-12,2026-09-13,Active,fr-annuaire:2026-09-13,
Collège Caroline Aigle,clg-aigle-cergy.ac-versailles.fr,k-12,2026-09-13,Inaccessible,fr-annuaire:2026-09-13,
Collège Robert Barrière,clgrobertbarriere.fr,k-12,2026-09-13,Active,fr-annuaire:2026-09-13,12
Collège Henri Scognamiglio,college-morcenx.fr,k-12,2026-09-13,Active,fr-annuaire:2026-09-13,9
Collège Capeyron,collegecapeyron.fr,k-12,2026-09-13,Inaccessible,fr-annuaire:2026-09-13,13
Lycée Epin,epin.fr,k-12,2026-09-13,Active,fr-annuaire:2026-09-13,20
Collège privé Saint-Martial,etab.ac-poitiers.fr,k-12,2026-09-13,Inaccessible,fr-annuaire:2026-09-13,
Collège Louise Michel,etablissement.ac-limoges.fr,k-12,2026-09-13,Inaccessible,fr-annuaire:2026-09-13,
Lycée agricole de Blanquefort,formagri33.com,k-12,2026-09-13,Active,fr-annuaire:2026-09-13,24
IÉSEG School of Management,ieseg.fr,university/college,2026-09-13,Inaccessible,hipo:2026-09-11;hipo:2026-09-13,29
National Institute of Applied Sciences of Toulouse,insa-toulouse.fr,university/college,2026-09-13,Active,hipo:2026-09-11;hipo:2026-09-13,22
Lycée agricole privé La Salle Saint-Antoine,lasallesaintantoine.fr,k-12,2026-09-13,Active,fr-annuaire:2026-09-13,8
Lycée professionnel du Larivot,lp-larivot.eta.ac-guyane.fr,k-12,2026-09-13,Active,fr-annuaire:2026-09-13,
Lycée professionnel Château Potel,lp-lyc-metier-chateau-potel-la-ferte-milon.02.ac-amiens.fr,k-12,2026-09-13,Active,fr-annuaire:2026-09-13,
Collège privé Notre-Dame-Sévigné,notredamesevigne.com,k-12,2026-09-13,Active,fr-annuaire:2026-09-13,21
Collège privé Saint-Paul,saint-paul-angouleme.fr,k-12,2026-09-13,Active,fr-annuaire:2026-09-13,19
Lycée polyvalent de Saint-Philbert-de-Grand-Lieu,saint-philbert-de-grand-lieu.paysdelaloire.e-lyco.fr,k-12,2026-09-13,Active,fr-annuaire:2026-09-13,
Lycée général Saint-Sernin,saint-sernin.mon-ent-occitanie.fr,k-12,2026-09-13,Inaccessible,fr-annuaire:2026-09-13,
Collège privé Sainte-Anne,sainteanne-dalzon.fr,k-12,2026-09-13,Inaccessible,fr-annuaire:2026-09-13,3
Lycée général et technologique privé Saint-Joseph - La Salle - Campus La Salle,saintjoseph-lasalletoulouse.fr,k-12,2026-09-13,Active,fr-annuaire:2026-09-13,2
Sorbonne Université,sorbonne-universite.fr,university/college,2026-09-13,Active,openalex:page2,15
Collège privé Sainte-Anne,steannemauleon.com,k-12,2026-09-13,Active,fr-annuaire:2026-09-13,17
Couvent Saint-Thomas-d'Aquin,toulouse.dominicains.com,university/college,2026-09-13,Active,wikidata:P856,
Université Paris Cité,u-paris.fr,university/college,2026-09-13,Active,openalex:page2,10
