school_name,web_domain,type,last_visited,status,sources,years_registered
University of the Arts London,arts.ac.uk,university/college,2026-09-19,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Balshaw’s Church of England High School,balshaws.lancs.sch.uk,university/college,2026-09-17,Inaccessible,ror:api-p18,26
Balshaw’s Church of England High School,balshaws.org.uk,university/college,2026-09-17,Active,redirect:balshaws.lancs.sch.uk,11
Bristol and Bath Science Park,bbsp.co.uk,university/college,2026-09-17,Inaccessible,ror:api-p18,15
University of Birmingham,birmingham.ac.uk,university/college,2026-09-15,Active,openalex:page7,
British Institute of Technology and E-commerce,bite.ac.uk,university/college,2026-09-15,Inaccessible,ror:api-p11,
University of Bristol,bristol.ac.uk,university/college,2026-09-15,Active,openalex:page8;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
University of Cambridge,cam.ac.uk,university/college,2026-09-18,Active,openalex:page1;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Cardiff University,cardiff.ac.uk,university/college,2026-09-17,Inaccessible,openalex:page17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Cardiff West Community High School,cardiffwestchs.cardiff.sch.uk,university/college,2026-09-17,Active,ror:api-p18,9
Sheffield Children's University,childrensuniversity.co.uk,university/college,2026-09-15,Active,ror:api-p10,21
Antich & Sons (United Kingdom),cj-antich.com,university/college,2026-09-17,Inaccessible,ror:api-p18,23
University of Durham,dur.ac.uk,university/college,2026-09-18,Active,openalex:page21;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
University of Edinburgh,ed.ac.uk,university/college,2026-09-14,Inaccessible,openalex:page4;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
UK College of English,edenhouse.co.uk,university/college,2026-09-18,Inaccessible,osm:GB-London,12
EF International Language Center,ef.co.uk,k-12,2026-09-18,Active,osm:GB-London,15
University of Exeter,exeter.ac.uk,university/college,2026-09-18,Active,openalex:page19,
Futureworks,futureworks.ac.uk,university/college,2026-09-18,Active,hipo:2026-09-16;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
University of Glasgow,gla.ac.uk,university/college,2026-09-15,Active,openalex:page9;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Glamorgan Archives,glamarchives.gov.uk,university/college,2026-09-17,Inaccessible,ror:api-p18,14
University of Greenwich,gre.ac.uk,university/college,2026-09-17,Active,osm:GB-London;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Hounslow Heath Infant and Nursery School,hhin.org,k-12,2026-09-17,Inaccessible,osm:GB-London,0
Hounslow Heath Junior School,hounslowheathjunior.co.uk,k-12,2026-09-17,Inaccessible,osm:GB-London,12
Imperial College London,imperial.ac.uk,university/college,2026-09-17,Active,openalex:page2;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Lloyd's Maritime Academy,informaconnect.com,university/college,2026-09-17,Active,redirect:lloydsmaritimeacademy.com,7
King's College London,kcl.ac.uk,university/college,2026-09-14,Active,openalex:page6;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
University of Leeds,leeds.ac.uk,university/college,2026-09-15,Active,openalex:page9;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Little Heath School,lheath.net,k-12,2026-09-17,Inaccessible,osm:GB-London,21
University of Liverpool,liv.ac.uk,university/college,2026-09-15,Inaccessible,openalex:page7;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
University of Liverpool,liverpool.ac.uk,university/college,2026-09-15,Active,redirect:liv.ac.uk,
Lloyd's Maritime Academy,lloydsmaritimeacademy.com,university/college,2026-09-17,Inaccessible,ror:api-p18,24
"London School of Hygiene & Tropical Medicine, University of London",lshtm.ac.uk,university/college,2026-09-18,Inaccessible,openalex:page20;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Lawn Tennis Association,lta.org.uk,university/college,2026-09-17,Active,ror:api-p18,30
University of Manchester,manchester.ac.uk,university/college,2026-09-14,Active,openalex:page3;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Maple Infants' School,mapleinfants.co.uk,k-12,2026-09-16,Active,osm:GB-London,25
University of Portsmouth,myport.ac.uk,university/college,2026-09-16,Inaccessible,hipo:2026-09-11;hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Newcastle University,ncl.ac.uk,university/college,2026-09-16,Active,openalex:page13;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
University of Nottingham,nottingham.ac.uk,university/college,2026-09-16,Active,openalex:page10;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Olberon (United Kingdom),olberon.com,university/college,2026-09-16,Inaccessible,ror:api-p3,21
University of Oxford,ox.ac.uk,university/college,2026-09-16,Inaccessible,openalex:page1;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
University of Portsmouth,port.ac.uk,university/college,2026-09-16,Active,hipo:2026-09-11;hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Queen Mary University of London,qmul.ac.uk,university/college,2026-09-17,Inaccessible,openalex:page16;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Royal College of Surgeons of Edinburgh,rcsed.ac.uk,university/college,2026-09-15,Active,ror:api-p8,
Royal Holloway University of London,rhul.ac.uk,university/college,2026-09-16,Inaccessible,hipo:2026-09-11;hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Rose of York Language School,roseofyork.com,university/college,2026-09-16,Inaccessible,osm:GB-London,10
Royal Holloway University of London,royalholloway.ac.uk,university/college,2026-09-16,Active,redirect:rhul.ac.uk;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Rutlish School,rutlish.merton.sch.uk,university/college,2026-09-15,Active,ror:api-p10,23
University of Sheffield,sheffield.ac.uk,university/college,2026-09-16,Active,openalex:page10;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
University of Southampton,southampton.ac.uk,university/college,2026-09-16,Active,openalex:page10,
St Martin's Church of England Junior School,stmartinsepsom.school,k-12,2026-09-15,Active,osm:GB-London,9
West Herts College,student.westherts.ac.uk,university/college,2026-09-15,Inaccessible,hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Mount Stewart Junior School,tmss.org.uk,k-12,2026-09-15,Active,osm:GB-London,9
Tolworth Infant and Nursery School,tolworthinf.greenschoolsonline.co.uk,k-12,2026-09-15,Inaccessible,osm:GB-London,
Tolworth Junior School,tolworthj.kingston.sch.uk,k-12,2026-09-15,Inaccessible,osm:GB-London,30
Tonbridge School,tonbridge-school.co.uk,university/college,2026-09-15,Active,ror:api-p11,28
University College London,ucl.ac.uk,university/college,2026-09-15,Active,openalex:page1;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Walsall Academy,walsallacademy.com,university/college,2026-09-15,Active,ror:api-p11,23
West Herts College,westherts.ac.uk,university/college,2026-09-19,Active,hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Wey Valley College,wvc.surrey.sch.uk,k-12,2026-09-19,Active,osm:GB-London,11
University of Warwick,www2.warwick.ac.uk,university/college,2026-09-17,Active,openalex:page15,
