school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
"Akrofi-Christaller Institute of Theeology, Mission and Culture",acighana.org,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,18,5,http-403,acighana.org,
All Nations University College,anuc.edu.gh,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,5,http-403,anuc.edu.gh,
Ashesi University,ashesi.edu.gh,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,ashesi.edu.gh,en-us
Accra Technical University,atu.edu.gh,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,atu.edu.gh,en-us
BlueCrest College,bluecrest.edu.gh,university/college,2026-09-14,Active,wikidata:P856,,,,,
Christ Apostolic University College,cauc.edu.gh,university/college,2026-09-14,Active,wikidata:P856;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,,,,
Cape Coast Technical University,cctu.edu.gh,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;wikidata:P856;hipo:2026-09-23,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,cctu.edu.gh,zxx
Central University College,central.edu.gh,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,central.edu.gh,en
Dominion University College,duc.edu.gh,university/college,2026-09-14,Inaccessible,wikidata:P856,,,,,
Ghana Baptist University College,gbuc.edu.gh,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,gbuc.edu.gh,
