school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Centro Universitario Ciudad Vieja,cucv.edu.gt,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,cucv.edu.gt,es
Centro Universitario de Occidente,cunoc.edu.gt,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,cunoc.edu.gt,en
Universidad Galileo,galileo.edu,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,25,5,http-403,galileo.edu,
Universidad Francisco Marroquín,ufm.edu.gt,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,5,http-403,ufm.edu.gt,
Universidad Mariano Gálvez,umg.edu.gt,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,umg.edu.gt,es-gt
Universidad del Istmo,unis.edu.gt,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,unis.edu.gt,es-es
Universidad Panamericana,upana.edu.gt,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,0,fetch-error:ConnectionError,upana.edu.gt,
Universidad Rafael Landívar,url.edu.gt,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,5,http-404,url.edu.gt,
Universidad Rural de Guatemala,urural.edu.gt,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,urural.edu.gt,es
Universidad de San Carlos de Guatemala,usac.edu.gt,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,portal.usac.edu.gt,es
Universidad del Valle de Guatemala,uvg.edu.gt,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,uvg.edu.gt,es
