school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Hong Kong Chu Hai College,chuhai.edu.hk,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,80,http-2xx-html+multi-source+edu-keywords+trusted-suffix,chuhai.edu.hk,
City University of Hong Kong,cityu.edu.hk,university/college,2026-09-18,Active,openalex:page19;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,,,,
The Hong Kong Polytechnic University,connect.polyu.hk,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,0,fetch-error:ConnectionError,connect.polyu.hk,
The Hong Kong University of Science and Technology,connect.ust.hk,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,0,fetch-error:ConnectionError,connect.ust.hk,
Chinese University of Hong Kong,cuhk.edu.hk,university/college,2026-09-15,Active,openalex:page9;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,,,,
The Education University of Hong Kong,eduhk.hk,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,0,fetch-error:SSLError,eduhk.hk,
The Hong Kong Academy for Performing Arts,hkapa.edu,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,32,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,hkapa.edu,en
Hong Kong Baptist University,hkbu.edu.hk,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;openalex:page62,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,hkbu.edu.hk,en
Hong Kong Metropolitan University,hkmu.edu.hk,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,5,http-403,hkmu.edu.hk,
Hong Kong Shue Yan University,hksyu.edu,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,19,0,fetch-error:ConnectTimeout,hksyu.edu,
University of Hong Kong,hku.hk,university/college,2026-09-15,Active,openalex:page6;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,,,,
Hong Kong Baptist University,life.hkbu.edu.hk,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,0,fetch-error:ConnectionError,life.hkbu.edu.hk,
The Chinese University of Hong Kong,link.cuhk.edu.hk,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,0,fetch-error:ConnectionError,link.cuhk.edu.hk,
Lingnan University,ln.edu.hk,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,ln.edu.hk,en
Lingnan University,ln.hk,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,0,fetch-error:ConnectionError,ln.hk,
Hong Kong Metropolitan University,ouhk.edu.hk,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,0,fetch-error:SSLError,ouhk.edu.hk,
Hong Kong Polytechnic University,polyu.edu.hk,university/college,2026-09-16,Active,openalex:page13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,,,,
The Education University of Hong Kong,s.eduhk.hk,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,0,fetch-error:ConnectionError,s.eduhk.hk,
City University of Hong Kong,um.cityu.edu.hk,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,0,fetch-error:ConnectionError,um.cityu.edu.hk,
The Hong Kong University of Science and Technology,ust.hk,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,0,fetch-error:ConnectionError,ust.hk,
