school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Universidad José Cecilio del Valle,ujcv.edu.hn,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,23,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,ujcv.edu.hn,es
Universidad Nacional Autónoma de Honduras,unah.edu.hn,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,26,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,unah.edu.hn,es
Universidad Católica de Honduras,unicah.edu,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,26,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,unicah.edu,es
Universidad Metropolitana de Honduras,unimetro.edu.hn,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,19,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,unimetro.edu.hn,es
Universidad Tecnológica Centroamericana,unitec.edu,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,27,100,http-2xx-html+multi-source+schema.org-edu+edu-keywords+structure+substantial-content,unitec.edu,es-es
"Universidad Pedagógica Nacional ""Francisco Morazán""",upnfm.edu.hn,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,25,80,http-2xx-html+multi-source+edu-keywords+trusted-suffix,upnfm.edu.hn,es
Universidad de San Pedro Sula,usap.edu,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,12,100,http-2xx-html+multi-source+schema.org-edu+edu-keywords+structure+substantial-content,usap.edu,es
Universidad de San Pedro Sula,usps.edu.hn,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,1,0,fetch-error:ConnectionError,usps.edu.hn,
Universidad Tecnológica de Honduras,uth.hn,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,25,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,uth.hn,es
Escuela Agricola Panamericana Zamorano,zamorano.edu,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,26,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,zamorano.edu,es-es
