school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Algebra University College,algebra.hr,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,80,http-2xx-html+multi-source+edu-keywords+substantial-content,algebra.hr,hr
Zagreb University of Applied Sciences,tvz.hr,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,80,http-2xx-html+multi-source+edu-keywords+substantial-content,tvz.hr,hr
University of Dubrovnik,unidu.hr,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,0,fetch-error:ConnectionError,unidu.hr,
University North,unin.hr,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,80,http-2xx-html+multi-source+edu-keywords+substantial-content,unin.hr,hr
University of Osijek,unios.hr,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,unios.hr,hr
University of Pula,unipu.hr,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,80,http-2xx-html+multi-source+edu-keywords+substantial-content,unipu.hr,hr
University of Rijeka,uniri.hr,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,uniri.hr,hr
University of Split,unist.hr,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,80,http-2xx-html+multi-source+edu-keywords+substantial-content,unist.hr,hr
University of Zadar,unizd.hr,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,0,fetch-error:ConnectionError,unizd.hr,
University of Zagreb,unizg.hr,university/college,2026-09-18,Active,openalex:page20;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,,,,
VERN' University of Applied Sciences,vern.hr,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,vern.hr,hr
Zagreb School of Economics and Management,zsem.hr,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,zsem.hr,hr
