school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Afeka Tel Aviv Academic College of Engineering,afeka.ac.il,university/college,2026-09-25,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,100,http-2xx-html+multi-source+schema.org-edu+edu-keywords+structure+substantial-content,afeka.ac.il,he
Ariel University Center of Samaria,ariel.ac.il,university/college,2026-09-25,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,60,http-2xx-html+multi-source+trusted-suffix,ariel.ac.il,
Ashkelon Academic College,ash-college.ac.il,university/college,2026-09-25,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,0,fetch-error:ConnectionError,ash-college.ac.il,
Bezalel Academy of Art and Design,bezalel.ac.il,university/college,2026-09-25,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,bezalel.ac.il,he
Ben-Gurion University of the Negev,bgu.ac.il,university/college,2026-09-25,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,40,low-confidence:http-2xx-html+multi-source+trusted-suffix+non-educational-content,bgu.ac.il,
Bar-Ilan University,biu.ac.il,university/college,2026-09-25,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,biu.ac.il,he
Acdemic Center for Law and Business,clb.ac.il,university/college,2026-09-25,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,5,empty-body,clb.ac.il,
College of Management,colman.ac.il,university/college,2026-09-25,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,colman.ac.il,he
Tel Aviv University,english.tau.ac.il,university/college,2026-09-15,Active,openalex:page8,,,,,
Galillee College,galilcol.ac.il,university/college,2026-09-25,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,0,fetch-error:SSLError,galilcol.ac.il,
University of Haifa,haifa.ac.il,university/college,2026-09-25,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;openalex:page49;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,haifa.ac.il,he-il
Hebrew University of Jerusalem,huji.ac.il,university/college,2026-09-25,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,0,fetch-error:ConnectionError,huji.ac.il,
The Interdisciplinary Center Herzliya,idc.ac.il,university/college,2026-09-25,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,40,low-confidence:http-2xx-html+multi-source+trusted-suffix+non-educational-content,idc.ac.il,
JCT Lev Academic Center,jct.ac.il,university/college,2026-09-25,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,jct.ac.il,he
Jerusalem University College,juc.edu,university/college,2026-09-25,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,28,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,juc.edu,en
Hebrew University of Jerusalem,new.huji.ac.il,university/college,2026-09-16,Active,openalex:page14,,,,,
Open University of Israel,openu.ac.il,university/college,2026-09-25,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,100,http-2xx-html+multi-source+schema.org-edu+edu-keywords+trusted-suffix+substantial-content,openu.ac.il,he-il
Russell Berrie Nanotechnology Institute,rbni.technion.ac.il,university/college,2026-09-25,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,rbni.technion.ac.il,en
Sami Shamoon College of Engineering,sce.ac.il,university/college,2026-09-25,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,,5,http-403,sce.ac.il,
