school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Adamas University,adamasuniversity.ac.in,university/college,2026-09-15,Active,whed:IAU-026059,12,,,,
Adesh University,adeshuniversity.ac.in,university/college,2026-09-17,Active,ror:api-p16,13,,,,
Anant National University,anu.edu.in,university/college,2026-09-15,Active,whed:IAU-029170,10,,,,
Ashoka University,ashoka.edu.in,university/college,2026-09-19,Inaccessible,hipo:2026-09-11;hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,14,,,,
Atharva College of Engineering,atharvacoe.ac.in,university/college,2026-09-19,Active,hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,12,,,,
Bansal Institute Of Research Technology & Science,birtbpl.ac.in,university/college,2026-09-15,Inaccessible,ror:api-p11,,,,,
Bloomfield Public School,bloomfieldpublicschool.com,k-12,2026-09-14,Active,osm:IN-Delhi,8,,,,
Dr. BMN College of Home Science,bmncollege.com,university/college,2026-09-17,Active,ror:api-p16,21,,,,
Bhagwan Parshuram Institute of Technology,bpitindia.edu.in,university/college,2026-09-19,Active,hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,8,,,,
Bhagwan Parshuram Institute of Technology,bpitindia.in,university/college,2026-09-19,Inaccessible,hipo:2026-09-11;hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,,,,
Chethana Special School,chethanaspecialschool.com,university/college,2026-09-17,Active,ror:api-p16,5,,,,
CPCL Polytechnic College,cpclpolytechnic.com,university/college,2026-09-15,Active,ror:api-p11,14,,,,
Dadar Athornan Institute,dadarathornaninstitute.org,university/college,2026-09-16,Active,ror:api-p12,17,,,,
DAV Institute of Engineering & Technology,davietjal.org,university/college,2026-09-18,Active,hipo:2026-09-11;hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,23,,,,
DAV Public School Pushpanjali,davpushpanjali.com,k-12,2026-09-14,Active,osm:IN-Delhi,20,,,,
Dharamsinh Desai University,ddu.ac.in,university/college,2026-09-17,Active,hipo:2026-09-16;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,21,,,,
Dhemaji Engineering College,dec.ac.in,university/college,2026-09-18,Active,wikidata:P856,3,,,,
Desh Bhagat University,deshbhagatuniversity.in,university/college,2026-09-17,Active,ror:api-p16,14,,,,
Dolphin (PG) Institute of Bio Medical and Natural Science,dolphininstitute.ac.in,university/college,2026-09-17,Active,redirect:dolphininstitute.in,1,,,,
Dolphin (PG) Institute of Bio Medical and Natural Science,dolphininstitute.in,university/college,2026-09-17,Inaccessible,ror:api-p16,16,,,,
"Delhi Public School, Dwarka",dpsdwarka.com,k-12,2026-09-14,Inaccessible,osm:IN-Delhi,24,,,,
Padmashree Dr DY Patil University,dypatil.edu,university/college,2026-09-14,Active,wikidata:P856,28,,,,
FORE School of Management,fsm.ac.in,k-12,2026-09-14,Active,osm:IN-Delhi,23,,,,
"Government Ayurved College, Nanded",gacnanded.com,university/college,2026-09-17,Inaccessible,ror:api-p16,8,,,,
Government Medical College,gmcsurat.edu.in,university/college,2026-09-17,Inaccessible,ror:api-p16,12,,,,
Green View Public School,greenviewpublicschool.in,k-12,2026-09-14,Inaccessible,osm:IN-Delhi,14,,,,
