school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Bifrost School of Business,bifrost.is,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,30,80,http-2xx-html+multi-source+edu-keywords+substantial-content,bifrost.is,is
University of Iceland,hi.is,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;redirect:holar.is;hipo:2026-09-25,39,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,hi.is,is
Holar University College,holar.is,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,27,40,moved-to:hi.is,hi.is,is
University Centre of the Westfjords,hsvest.is,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,21,0,fetch-error:SSLError,hsvest.is,
Hvanneyri Agricultural University,hvanneyri.is,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,30,0,fetch-error:ConnectTimeout,hvanneyri.is,
Technological University of Iceland,iti.is,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,9,70,http-2xx-html+multi-source+structure+substantial-content,iti.is,en
Iceland University of Education,khi.is,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,8,0,fetch-error:SSLError,khi.is,
Iceland Academy of the Arts,lhi.is,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,27,100,http-2xx-html+multi-source+schema.org-edu+edu-keywords+structure+substantial-content,lhi.is,is-is
Reykjavík University,ru.is,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,26,80,http-2xx-html+multi-source+edu-keywords+substantial-content,ru.is,is
University of Akureyri,unak.is,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,32,60,http-2xx-html+multi-source+substantial-content,unak.is,is
