school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
"Ahmadu Bello University, Zaria",abu.edu.ng,university/college,2026-09-19,Active,nuc-ng:federal;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,,,,
Akute Grammar School,akutegramms.blogspot.com,k-12,2026-09-14,Inaccessible,osm:NG-Lagos,,,,,
"Abubakar Tafawa Balewa University, Bauchi",atbu.edu.ng,university/college,2026-09-19,Active,nuc-ng:federal;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,,,,
Anchor University,aul.edu.ng,university/college,2026-09-14,Active,osm:NG-Lagos,,,,,
Avi-Cenna International School,avi-cenna.com,k-12,2026-09-14,Active,osm:NG-Lagos,21,,,,
Banana Island School,bananaislandschool.com,k-12,2026-09-14,Active,osm:NG-Lagos,17,,,,
British International School Lagos,bijsnigeria.org,k-12,2026-09-14,Active,osm:NG-Lagos,5,,,,
"Bayero University, Kano",buk.edu.ng,university/college,2026-09-19,Active,nuc-ng:federal;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,,,,
"Chrisland College, Idimu",chrislandschools.org,k-12,2026-09-14,Inaccessible,osm:NG-Lagos,11,,,,
COVENANT HALL SCHOOL,covenanthallschools.com.ng,k-12,2026-09-14,Inaccessible,osm:NG-Lagos,,,,,
Digital Bridge Institute,dbi.edu.ng,university/college,2026-09-14,Active,osm:NG-Lagos,,,,,
"Distance Learning Centre, University of Ibadan",dlc.ui.edu.ng,university/college,2026-09-14,Active,wikidata:P856,,,,,
Federal Government College Lagos,fgclagos.org.ng,k-12,2026-09-14,Inaccessible,osm:NG-Lagos,,,,,
"Federal University, Birnin Kebbi",fubk.edu.ng,university/college,2026-09-18,Active,nuc-ng:federal,,,,,
"Federal University, Dutse, Jigawa State",fud.edu.ng,university/college,2026-09-18,Active,nuc-ng:federal,,,,,
"Federal University, Dutsin-Ma, Katsina",fudutsinma.edu.ng,university/college,2026-09-18,Active,nuc-ng:federal;wikidata:P856,,,,,
"Federal University Gashua, Yobe",fugashua.edu.ng,university/college,2026-09-18,Active,nuc-ng:federal,,,,,
"Federal University, Gusau Zamfara",fugusau.edu.ng,university/college,2026-09-18,Active,nuc-ng:federal,,,,,
"Federal University, Kashere, Gombe State",fukashere.edu.ng,university/college,2026-09-18,Active,nuc-ng:federal,,,,,
"Federal University, Lafia, Nasarawa State",fulafia.edu.ng,university/college,2026-09-18,Active,nuc-ng:federal,,,,,
"Federal University, Lokoja, Kogi State",fulokoja.edu.ng,university/college,2026-09-18,Inaccessible,nuc-ng:federal,,,,,
"Alex Ekwueme University, Ndufu-Alike, Ebonyi State",funai.edu.ng,university/college,2026-09-18,Inaccessible,nuc-ng:federal,,,,,
"Federal University, Otuoke, Bayelsa",fuotuoke.edu.ng,university/college,2026-09-18,Inaccessible,nuc-ng:federal,,,,,
"Federal University, Oye-Ekiti, Ekiti State",fuoye.edu.ng,university/college,2026-09-18,Inaccessible,nuc-ng:federal,,,,,
"Federal University of Petroleum Resources, Effurun",fupre.edu.ng,university/college,2026-09-18,Active,nuc-ng:federal;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,,,,
"Federal University of Technology, Akure",futa.edu.ng,university/college,2026-09-18,Inaccessible,nuc-ng:federal;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,,,,
"Federal University of Technology, Minna",futminna.edu.ng,university/college,2026-09-18,Inaccessible,nuc-ng:federal;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,,,,
"Federal University of Technology, Owerri",futo.edu.ng,university/college,2026-09-18,Inaccessible,nuc-ng:federal;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,,,,
"Federal University, Wukari, Taraba State",fuwukari.edu.ng,university/college,2026-09-18,Active,nuc-ng:federal;wikidata:P856,,,,,
Igbobi College,igbobicollegeyaba.com,k-12,2026-09-14,Inaccessible,osm:NG-Lagos,13,,,,
Lagos State University,lasu.edu.ng,university/college,2026-09-14,Active,osm:NG-Lagos,,,,,
Michael Okpara University of Agricultural Umudike,mouau.edu.ng,university/college,2026-09-16,Active,nuc-ng:federal;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,,,,
MUSON Centre,muson.org,university/college,2026-09-14,Active,osm:NG-Lagos,13,,,,
"Federal College of Education (Technical), Akoka",nce.fcet-akoka.edu.ng,university/college,2026-09-14,Inaccessible,osm:NG-Lagos,,,,,
Yaba College of Technology,yabatech.edu.ng,university/college,2026-09-19,Active,osm:NG-Lagos;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,,,,
Zamfara State University,zamsut.edu.ng,university/college,2026-09-19,Active,wikidata:P856,,,,,
