school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
De La Salle College of Saint Benilde,benilde.edu.ph,university/college,2026-09-15,Inaccessible,whed:IAU-003598,,,,,
Bukidnon State University,buksu.edu.ph,university/college,2026-09-19,Inaccessible,wikidata:P856,,,,,
Bulacan State University,bulsu.edu.ph,university/college,2026-09-19,Inaccessible,wikidata:P856;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,,,,
CIIT,ciit-ph.com,university/college,2026-09-15,Inaccessible,osm:PH-Manila,3,,,,
Cagayan State University,csu.edu.ph,university/college,2026-09-15,Active,wikidata:P856;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,,,,
Philippine Cultural College - Quezon City Campus,cultural.edu.ph,university/college,2026-09-15,Inaccessible,osm:PH-Manila,,,,,
Five Star Standard College,fssc.edu.ph,university/college,2026-09-15,Active,osm:PH-Manila,,,,,
Gardner College,gardner.edu.ph,university/college,2026-09-15,Active,osm:PH-Manila,,,,,
GCF International Christian School,gcf-ics.edu.ph,k-12,2026-09-15,Active,osm:PH-Manila,,,,,
"Integrated Movement Academy, Inc.",imaiph.com,k-12,2026-09-15,Inaccessible,osm:PH-Manila,,,,,
Informatics College,informatics.edu.ph,university/college,2026-09-15,Inaccessible,osm:PH-Manila,,,,,
Makati Medical Center College,makatimedcollege.edu.ph,university/college,2026-09-15,Inaccessible,osm:PH-Manila,,,,,
Mariana Academy of Maritime Studies Inc.,marianaacademy.com,k-12,2026-09-15,Active,osm:PH-Manila,5,,,,
Microcadd Institute,microcadd.com,university/college,2026-09-15,Inaccessible,osm:PH-Manila,27,,,,
MIT International School,mitis.edu.ph,university/college,2026-09-15,Active,osm:PH-Manila,,,,,
St Vincent School of Theology,svst.edu.ph,university/college,2026-09-15,Active,osm:PH-Manila,,,,,
University of Santo Tomas Faculty of Arts and Letters,ust.edu.ph,university/college,2026-09-15,Active,osm:PH-Manila;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,,,,
