school_name,web_domain,type,last_visited,status,sources,years_registered
Dom Dinis Agricultural Professional School,epadd-paia.pt,university/college,2026-09-16,Inaccessible,wikidata:P856,
Professional School of Communication and Image,epci.pt,university/college,2026-09-16,Inaccessible,wikidata:P856,
Leiria Professional School,epl.pt,university/college,2026-09-16,Inaccessible,wikidata:P856,
Escola Superior de Artes e Design,esad.pt,university/college,2026-09-16,Active,wikidata:P856,
Escola Superior Artística do Porto,esap.pt,university/college,2026-09-16,Active,wikidata:P856,
Escola Superior de Dança,esd.ipl.pt,university/college,2026-09-16,Active,wikidata:P856,
Escola Superior de Educação de Lisboa,eselx.ipl.pt,university/college,2026-09-16,Active,wikidata:P856,
Sico Technological and Professional School,etpsico.pt,university/college,2026-09-16,Inaccessible,wikidata:P856,
Escola Superior de Turismo e Tecnologia do Mar de Peniche,ipleiria.pt,university/college,2026-09-16,Active,wikidata:P856,
University of Lisbon,ulisboa.pt,university/college,2026-09-16,Active,openalex:page13,
Universidade do Porto,up.pt,university/college,2026-09-16,Active,openalex:page13,
