school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Far Eastern State Institute of Arts,dv-art.ru,university/college,2026-09-18,Active,ror:api-p1,,,,,
Belgorod State University of Arts and Culture,en.bgiik.ru,university/college,2026-09-18,Inaccessible,ror:api-p1,,,,,
St. Petersburg University of the Humanities and Social Sciences,gup.ru,university/college,2026-09-17,Active,ror:api-p1,,,,,
Institute for the Humanities and Information Technologies,igumo.ru,university/college,2026-09-17,Active,ror:api-p1,,,,,
Moscow State University of Fine Chemical Technologies,mirea.ru,university/college,2026-09-15,Inaccessible,redirect:mitht.ru;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22,,,,,
Moscow State University of Fine Chemical Technologies,mitht.ru,university/college,2026-09-15,Inaccessible,ror:api-p8,,,,,
Lomonosov Moscow State University,msu.ru,university/college,2026-09-15,Inaccessible,openalex:page8;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22,,,,,
Nevsky Institute of Language and Culture,niyak.spb.ru,university/college,2026-09-16,Inaccessible,ror:api-p1,,,,,
Nevsky Institute of Language and Culture,priem.nevskyinstitute.ru,university/college,2026-09-16,Active,redirect:niyak.spb.ru,,,,,
"Volga Region State Academy of Physical Culture, Sports and Tourism",sportacadem.ru,university/college,2026-09-15,Inaccessible,ror:api-p1,,,,,
"Volga Region State Academy of Physical Culture, Sports and Tourism",unifirst.ru,university/college,2026-09-20,Active,redirect:sportacadem.ru,,,,,
University of Technology,unitech-mo.ru,university/college,2026-09-20,Active,ror:api-p1,,,,,
Vyatka State University of Humanities,vggu.ru,university/college,2026-09-20,Inaccessible,ror:api-p1,,,,,
Voronezh State Institute of Physical Culture,vgifk.ru,university/college,2026-09-20,Active,ror:api-p1,,,,,
Volgograd Institute of Management,vlgr.ranepa.ru,university/college,2026-09-15,Active,wikidata:P856,,,,,
V.V. Lukianov Orel Law Institute of the Ministry of Internal Affairs,xn--h1alg0d.xn--b1aew.xn--p1ai,university/college,2026-09-19,Inaccessible,ror:api-p1,,,,,
Zabaikalsky State Humanitarian and Pedagogical University,zabspu.ru,university/college,2026-09-19,Inaccessible,ror:api-p1,,,,,
