school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Universidad Don Bosco,cdb.edu.sv,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,0,fetch-error:ConnectionError,cdb.edu.sv,
Universidad Albert Einstein,uae.edu.sv,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,uae.edu.sv,es
"Universidad Centroamericana ""José Simeón Canas""",uca.edu.sv,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,uca.edu.sv,es
Universidad Cristiana de las Asambleas de Dios,ucad.edu.sv,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,ucad.edu.sv,es
Universidad Evangélica de El Salvador,uees.edu.sv,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,0,fetch-error:ConnectionError,uees.edu.sv,
Universidad de El Salvador,ues.edu.sv,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,0,fetch-error:ConnectionError,ues.edu.sv,
Universidad Francisco Gavidia,ufg.edu.sv,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;deqar:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,ufg.edu.sv,es-sv
Universidad Capitain General Gerardo Barrios,ugb.edu.sv,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,ugb.edu.sv,es
Universidad Dr. Jose Matias Delgado,ujmd.edu.sv,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,ujmd.edu.sv,es
Universidad Luterana Salvadorena,uls.edu.sv,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,0,fetch-error:ConnectTimeout,uls.edu.sv,
Universidad Modular Abierta,uma.edu.sv,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,0,fetch-error:ConnectionError,uma.edu.sv,
Universidad Monsenor Oscar Arnulfo Romeo,umoar.edu.sv,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,0,fetch-error:ConnectTimeout,umoar.edu.sv,
Universidad Dr. Andreas Bello,unab.edu.sv,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,unab.edu.sv,es
Universidad Autónoma de Santa Ana,unasa.edu.sv,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,unasa.edu.sv,
Universidad Católica de Occidente,unico.edu.sv,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,0,fetch-error:ConnectionError,unico.edu.sv,
Universidad Pedagógica de El Salvador,universidadpedagogica.com,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,0,fetch-error:ConnectionError,universidadpedagogica.com,
Universidad de Oriente,univo.edu.sv,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,univo.edu.sv,es
